id,monkey_id,iop,icp,torch_present,scan_shape,constructed_filepath,training,oct_present,tiff_present,original scan folder (OCT),original scan folder (tiff),original scan file,scan date,scan time,eyeball (od or os),scan area,scan notes,handler,eric notes,exists
11,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,4,04/25/2013,12:19,OS,3x3,EDI-best,zixiao,,TRUE
12,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,5,04/25/2013,12:21,OS,5x5,EDI,zixiao,,TRUE
13,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,6,04/25/2013,12:23,OS,5x5,EDI-good,zixiao,,TRUE
14,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,1,04/25/2013,12:25,OS,5x5,EDI,zixiao,,TRUE
15,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,2,04/25/2013,12:27,OS,5x5,,zixiao,,TRUE
16,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,3,04/25/2013,12:28,OS,5x5,,zixiao,,TRUE
17,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,4,04/25/2013,12:30,OS,5x5,,zixiao,,TRUE
18,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,5,04/25/2013,12:32,OS,5x5,,zixiao,,TRUE
19,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,6,04/25/2013,12:35,OS,3x3,,zixiao,,TRUE
20,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/7.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,7,04/25/2013,12:36,OS,3x3,,zixiao,,TRUE
21,1,50,8.5,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,1,04/25/2013,12:39,OS,5x5,,zixiao,,FALSE
22,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,2,04/25/2013,12:41,OS,5x5,,zixiao,,TRUE
23,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,3,04/25/2013,12:43,OS,5x5,,zixiao,,TRUE
24,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,4,04/25/2013,12:44,OS,3x3,,zixiao,,TRUE
25,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,5,04/25/2013,12:45,OS,3x3,,zixiao,,TRUE
26,1,15,27,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,1,04/25/2013,13:40,OS,3x3,poor quality,zixiao,,FALSE
27,1,15,17,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,2,04/25/2013,13:43,OS,3x3,better,zixiao,,TRUE
28,1,15,15,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,3,04/25/2013,13:45,OS,3x3,,zixiao,,FALSE
29,1,15,21,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,4,04/25/2013,13:46,OS,3x3,poor quality,zixiao,,FALSE
30,1,15,24,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,5,04/25/2013,13:48,OS,5x5,good quality,zixiao,,TRUE
31,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,6,04/25/2013,13:50,OS,5x5,good,zixiao,,TRUE
32,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/7.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,7,04/25/2013,13:51,OS,3x3,,zixiao,,TRUE
33,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/8.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,8,04/25/2013,13:52,OS,3x3,,zixiao,,TRUE
34,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/9.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,9,04/25/2013,13:53,OS,3x3,centered better,zixiao,,TRUE
35,1,5,25,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,1,04/25/2013,13:57,OS,3x3,poor quality,zixiao,,FALSE
36,1,5,25,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,2,04/25/2013,14:00,OS,3x3,better,zixiao,,FALSE
37,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/3.oct,TRUE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,3,04/25/2013,14:03,OS,3x3,,zixiao,,TRUE
38,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,4,04/25/2013,14:06,OS,3x3,best,zixiao,,TRUE
39,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,5,04/25/2013,14:08,OS,3x3,"good, not centered",zixiao,,TRUE
40,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,6,04/25/2013,14:09,OS,5x5,,zixiao,,TRUE
41,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,1,04/25/2013,14:11,OS,5x5,,zixiao,,TRUE
42,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,2,04/25/2013,14:12,OS,5x5,,zixiao,,TRUE
43,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,3,04/25/2013,14:13,OS,3x3,,zixiao,,TRUE
44,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,4,04/25/2013,14:14,OS,3x3,,zixiao,,TRUE
45,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,5,04/25/2013,14:15,OS,3x3,best?,zixiao,,TRUE
46,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,1,04/25/2013,14:18,OS,3x3,poor quality,zixiao,,TRUE
47,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,2,04/25/2013,14:20,OS,3x3,"not centered, better quality",zixiao,,TRUE
48,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,3,04/25/2013,14:22,OS,3x3,,zixiao,,TRUE
49,1,50,25,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,4,04/25/2013,14:23,OS,5x5,,zixiao,,FALSE
50,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,5,04/25/2013,14:25,OS,5x5,,zixiao,,TRUE
51,1,15,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,1,04/25/2013,14:31,OS,3x3,transition,zixiao,,TRUE
52,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,2,04/25/2013,14:33,OS,3x3,,zixiao,,TRUE
53,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,3,04/25/2013,14:35,OS,5x5,,zixiao,,TRUE
54,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,4,04/25/2013,14:53,OS,5x5,,zixiao,,TRUE
55,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,5,04/25/2013,14:55,OS,5x5,,zixiao,,TRUE
56,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,6,04/25/2013,14:56,OS,3x3,not centered,zixiao,,TRUE
57,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/7.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,7,04/25/2013,14:58,OS,3x3,centered - good?,zixiao,,TRUE
58,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/8.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,8,04/25/2013,14:59,OS,3x3,poor quality,zixiao,,TRUE
59,1,5,6,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icplow/5,monkey_1_4.25.13/'raw bog and tiffs'/icplow/5,1,04/25/2013,15:01,OS,5x5,better,zixiao,,FALSE
60,1,5,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/5/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/5,monkey_1_4.25.13/'raw bog and tiffs'/icplow/5,2,04/25/2013,15:03,OS,5x5,best?,zixiao,,TRUE
61,1,5,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/5/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/5,monkey_1_4.25.13/'raw bog and tiffs'/icplow/5,3,04/25/2013,15:05,OS,5x5,,zixiao,,TRUE
62,1,5,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/5/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/5,monkey_1_4.25.13/'raw bog and tiffs'/icplow/5,4,04/25/2013,15:06,OS,3x3,,zixiao,,TRUE
63,1,5,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/5/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/5,monkey_1_4.25.13/'raw bog and tiffs'/icplow/5,5,04/25/2013,15:07,OS,3x3,,zixiao,,TRUE
64,1,30,6,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icplow/30,monkey_1_4.25.13/'raw bog and tiffs'/icplow/30,1,04/25/2013,15:11,OS,3x3,poorish quality,zixiao,,FALSE
65,1,30,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/30/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/30,monkey_1_4.25.13/'raw bog and tiffs'/icplow/30,2,04/25/2013,15:12,OS,5x5,,zixiao,,TRUE
66,1,30,6,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icplow/30,monkey_1_4.25.13/'raw bog and tiffs'/icplow/30,3,04/25/2013,15:13,OS,5x5,,zixiao,,FALSE
67,1,30,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/30/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/30,monkey_1_4.25.13/'raw bog and tiffs'/icplow/30,4,04/25/2013,15:15,OS,3x3,,zixiao,,TRUE
68,1,30,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/30/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/30,monkey_1_4.25.13/'raw bog and tiffs'/icplow/30,5,04/25/2013,15:16,OS,3x3,,zixiao,,TRUE
69,1,50,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/50/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/50,monkey_1_4.25.13/'raw bog and tiffs'/icplow/50,1,04/25/2013,15:17,OS,5x5,,zixiao,,TRUE
70,1,50,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/50/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/50,monkey_1_4.25.13/'raw bog and tiffs'/icplow/50,2,04/25/2013,15:18,OS,5x5,,zixiao,,TRUE
71,1,50,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/50/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/50,monkey_1_4.25.13/'raw bog and tiffs'/icplow/50,3,04/25/2013,15:19,OS,5x5,,zixiao,,TRUE
72,1,50,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/50/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/50,monkey_1_4.25.13/'raw bog and tiffs'/icplow/50,4,04/25/2013,15:20,OS,3x3,,zixiao,,TRUE
73,1,50,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/50/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/50,monkey_1_4.25.13/'raw bog and tiffs'/icplow/50,5,04/25/2013,15:21,OS,3x3,,zixiao,,TRUE
74,1,15,18,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/15,1,04/25/2013,15:27,OS,3x3,transition,zixiao,,FALSE
75,1,15,29,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/15,2,04/25/2013,15:29,OS,3x3,transition,zixiao,,FALSE
76,1,15,45,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/15,3,04/25/2013,15:34,OS,3x3,,zixiao,,TRUE
77,1,15,40,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/15,4,04/25/2013,15:35,OS,5x5,,zixiao,,TRUE
78,1,15,41,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/15,5,04/25/2013,15:36,OS,5x5,,zixiao,,TRUE
79,1,15,32,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/15,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/15,6,04/25/2013,15:38,OS,3x3,,zixiao,,TRUE
80,1,30,18,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/30,1,04/25/2013,15:39,OS,5x5,,zixiao,,FALSE
81,1,30,44,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/30,2,04/25/2013,15:41,OS,5x5,,zixiao,,TRUE
82,1,30,43,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/30,3,04/25/2013,15:42,OS,3x3,,zixiao,,TRUE
83,1,30,32,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpsuperduperhigh/30,monkey_1_4.25.13/'raw bog and tiffs'/icpsuperduperhigh/30,4,04/25/2013,15:43,OS,3x3,,zixiao,,TRUE
